Date,Open,High,Low,Close,AdjClose,Volume
1996-11-01,28.50,29.29,27.84,29.05,15.13,17725734
1996-12-01,29.03,29.48,27.92,28.67,14.93,26865715
1997-01-01,28.67,34.08,28.12,32.65,17.00,75801541
1997-02-01,32.74,35.29,32.71,35.01,18.23,51720498
1997-03-01,34.99,38.01,34.19,36.82,19.17,59679281
1997-04-01,36.16,36.62,34.54,36.26,18.88,40185282
1997-05-01,36.26,40.19,36.10,38.07,19.82,64527034
1997-06-01,37.79,41.58,37.73,40.09,20.88,47443714
1997-07-01,40.23,53.34,40.19,48.39,25.20,74449763
1997-08-01,48.45,48.91,41.76,41.82,21.77,61979886
1997-09-01,42.49,49.80,41.18,49.41,25.72,157742770
1997-10-01,49.17,52.62,40.19,45.02,23.44,176517105
1997-11-01,45.63,46.01,41.42,44.80,23.33,116170936
1997-12-01,45.06,50.80,44.68,50.04,26.06,39164363
1998-01-01,50.04,51.39,42.10,47.18,24.57,65938678
1998-02-01,47.34,51.03,46.31,48.59,25.30,55344561
1998-03-01,48.49,56.30,47.76,56.10,29.21,67564680
1998-04-01,56.18,62.25,54.27,56.55,29.45,66324902
1998-05-01,56.55,65.39,56.55,60.92,31.72,50630059
1998-06-01,60.92,62.75,56.39,60.45,31.47,31678059
1998-07-01,60.72,64.73,55.40,56.20,29.26,71211402
1998-08-01,55.28,57.17,42.18,43.19,22.49,136555218
1998-09-01,42.89,46.82,33.76,33.76,17.58,146516266
1998-10-01,33.71,42.79,30.12,40.53,21.10,136717786
1998-11-01,41.50,45.83,38.92,41.56,21.64,102104585
1998-12-01,41.10,41.28,35.66,38.72,20.16,99667944
1999-01-01,38.72,45.05,35.35,38.60,20.10,60428870
1999-02-01,39.11,39.75,35.78,37.44,19.49,41547050
1999-03-01,37.24,41.91,34.95,36.62,19.07,61971627
1999-04-01,37.00,42.99,34.91,42.10,21.92,95360913
1999-05-01,42.47,44.15,38.46,38.76,20.18,68510007
1999-06-01,39.42,46.41,39.02,45.42,23.65,65530145
1999-07-01,46.68,52.04,45.18,45.89,23.89,82931673
1999-08-01,45.83,52.59,44.48,51.11,26.61,70335711
1999-09-01,50.26,51.22,47.21,48.59,25.30,50700937
1999-10-01,49.14,53.48,48.45,51.57,26.85,59581017
1999-11-01,52.83,55.54,50.12,50.58,26.34,56990167
1999-12-01,50.52,70.29,50.32,65.15,33.92,69475203
2000-01-01,66.02,69.36,58.80,59.81,31.14,83543428
2000-02-01,60.78,70.14,59.55,68.35,35.59,74177486
2000-03-01,68.35,74.30,53.40,53.75,27.99,128693047
2000-04-01,54.36,64.04,53.63,57.40,29.89,63039728
2000-05-01,57.40,64.70,57.09,64.20,33.43,58059955
2000-06-01,64.20,70.26,64.20,66.96,34.86,62132257
2000-07-01,67.42,77.73,67.10,74.76,39.45,59179836
2000-08-01,74.93,80.22,73.09,76.12,40.16,68992648
2000-09-01,76.27,77.83,71.20,72.78,38.40,60517337
2000-10-01,72.51,77.79,65.23,72.55,38.28,50920752
2000-11-01,75.73,78.56,64.08,64.39,33.98,74742157
2000-12-01,64.90,73.78,62.37,69.53,36.68,63949514
2001-01-01,69.53,82.06,64.11,81.25,42.87,106508675
2001-02-01,78.45,78.65,67.97,69.68,36.77,76559908
2001-03-01,69.68,72.55,56.47,67.11,35.41,115594255
2001-04-01,68.12,72.40,58.81,71.46,37.71,67068154
2001-05-01,71.46,73.87,67.97,70.46,37.18,64252505
2001-06-01,70.08,70.76,64.16,65.74,35.17,63415165
2001-07-01,65.95,66.99,58.41,62.09,33.22,78346553
2001-08-01,60.82,62.53,56.59,58.96,31.54,93901915
2001-09-01,59.34,59.34,33.56,46.76,25.02,157170465
2001-10-01,46.64,50.71,43.27,48.00,25.68,121751454
2001-11-01,48.35,59.27,47.22,55.93,29.92,115052472
2001-12-01,55.81,62.41,54.40,61.67,33.00,61277863
2002-01-01,61.67,64.20,53.91,56.02,29.97,112255599
2002-02-01,56.43,57.21,48.48,52.74,28.29,113639703
2002-03-01,52.90,58.30,52.61,57.43,30.80,92682430
2002-04-01,57.43,58.10,52.62,57.17,30.66,95505663
2002-05-01,57.17,61.89,56.45,60.00,32.18,99398710
2002-06-01,59.65,60.34,49.91,54.68,29.83,137350829
2002-07-01,54.02,57.44,38.84,45.14,24.63,184316095
2002-08-01,45.13,50.59,41.57,49.08,26.78,103645281
2002-09-01,48.85,49.28,35.39,35.77,19.51,148612505
2002-10-01,36.08,38.62,27.68,34.25,18.69,194959098
2002-11-01,33.94,41.16,32.79,39.15,21.36,118790908
2002-12-01,39.61,42.29,33.24,34.10,18.60,104226456
2003-01-01,34.10,37.21,28.41,30.67,16.73,151454671
2003-02-01,31.07,32.87,27.37,29.28,16.05,141065606
2003-03-01,29.75,34.25,25.61,29.90,16.39,176067340
2003-04-01,30.10,37.78,28.90,35.99,19.73,144051719
2003-05-01,35.99,39.74,35.01,38.68,21.20,128067351
2003-06-01,39.62,46.68,39.62,43.87,24.05,156702542
2003-07-01,43.69,46.57,42.41,44.94,25.23,119550968
2003-08-01,44.27,44.27,40.28,40.89,22.96,115443976
2003-09-01,41.20,46.55,39.77,40.59,22.79,143038315
2003-10-01,40.47,45.14,40.04,44.07,24.75,106407689
2003-11-01,44.04,45.50,41.87,45.18,25.37,110588685
2003-12-01,45.50,51.30,45.48,51.03,28.65,127181246
2004-01-01,51.03,52.07,48.31,48.86,27.43,111987559
2004-02-01,48.94,56.14,48.47,53.60,30.29,124063819
2004-03-01,54.06,60.41,50.36,52.55,29.69,179488590
2004-04-01,52.90,56.77,52.67,53.40,30.18,111542120
2004-05-01,53.08,53.95,49.04,50.34,28.45,121546273
2004-06-01,50.33,52.31,48.95,50.16,28.35,115227068
2004-07-01,50.61,50.76,44.00,44.86,25.95,119394833
2004-08-01,44.50,44.55,40.68,43.41,25.12,109500034
2004-09-01,43.81,47.52,43.78,44.95,26.01,113157356
2004-10-01,45.13,47.96,44.24,46.29,26.78,103719150
2004-11-01,46.42,50.88,46.15,49.52,28.65,104355427
2004-12-01,49.52,51.52,49.43,50.74,29.36,94048013
2005-01-01,50.86,52.53,49.21,50.68,29.32,104931758
2005-02-01,50.68,53.87,50.64,51.50,30.17,104065553
2005-03-01,51.50,54.29,51.13,51.69,30.29,97236421
2005-04-01,51.54,53.22,48.75,48.98,28.70,109711286
2005-05-01,49.41,50.24,47.30,49.08,28.75,121294334
2005-06-01,49.01,51.02,48.86,50.26,30.28,98100288
2005-07-01,50.18,56.14,48.94,55.54,33.45,114781903
2005-08-01,55.54,56.23,52.83,54.54,32.85,90415533
2005-09-01,54.75,60.98,54.53,60.45,36.41,122373609
2005-10-01,60.74,61.84,57.53,60.69,36.56,105215652
2005-11-01,60.86,66.00,60.27,64.57,38.89,98796381
2005-12-01,64.62,66.02,62.26,63.62,38.32,91867491
2006-01-01,63.69,68.97,63.05,68.65,41.35,106569266
2006-02-01,68.66,73.75,66.91,71.81,43.60,107993008
2006-03-01,72.23,74.72,69.42,73.21,44.45,124683510
2006-04-01,73.71,76.34,72.04,75.59,45.90,82037624
2006-05-01,75.59,77.83,67.27,69.56,42.23,184781846
2006-06-01,69.36,70.37,62.71,68.35,41.50,126015114
2006-07-01,68.70,70.92,64.00,70.10,43.77,89435494
2006-08-01,68.70,69.63,65.25,69.25,43.24,114343416
2006-09-01,69.15,74.42,67.97,73.92,46.15,109580686
2006-10-01,74.26,77.46,73.01,76.60,47.83,107434469
2006-11-01,75.77,80.23,74.67,75.63,47.22,122028850
2006-12-01,75.89,79.37,74.34,78.72,49.15,83134959
2007-01-01,78.72,84.48,78.02,84.23,52.59,107816176
2007-02-01,85.21,85.44,75.86,77.09,48.48,105890185
2007-03-01,77.17,79.14,70.37,78.33,49.26,179110054
2007-04-01,77.80,89.28,77.33,88.01,55.35,119526336
2007-05-01,88.01,92.05,85.96,87.82,55.23,117794648
2007-06-01,88.04,89.26,81.04,83.74,54.55,158355286
2007-07-01,82.90,85.29,74.45,78.37,51.06,170071785
2007-08-01,75.73,80.37,68.40,70.40,45.86,283037505
2007-09-01,71.07,74.03,67.70,70.20,45.73,225870641
2007-10-01,68.83,75.13,66.43,71.50,46.58,191627264
2007-11-01,71.61,71.61,63.17,69.74,45.43,206740805
2007-12-01,69.88,71.70,67.19,69.44,45.24,108952982
2008-01-01,69.44,69.75,52.04,58.38,38.03,285419659
2008-02-01,58.88,61.01,55.77,57.68,37.58,215981648
2008-03-01,56.55,57.84,50.19,55.69,36.28,201545899
2008-04-01,55.14,60.65,54.64,59.79,38.95,153745996
2008-05-01,59.79,61.52,53.06,53.39,34.78,148194321
2008-06-01,53.80,53.89,42.19,42.60,29.59,235457778
2008-07-01,42.26,48.38,36.88,46.29,32.15,288338397
2008-08-01,45.74,50.37,43.20,45.21,32.62,166372385
2008-09-01,44.82,48.81,36.93,38.48,27.76,384222101
2008-10-01,39.25,42.19,17.29,22.87,16.50,409804902
2008-11-01,24.08,28.42,14.44,21.73,15.68,279727326
2008-12-01,21.75,22.52,18.14,21.62,15.60,199777683
2009-01-01,21.62,22.95,11.95,16.08,11.60,288200416
2009-02-01,15.57,18.63,12.69,16.14,11.65,273382825
2009-03-01,15.26,25.57,14.13,23.54,16.98,359078498
2009-04-01,23.71,33.86,22.81,31.57,22.78,258930897
2009-05-01,31.57,38.18,28.45,36.74,26.51,202566125
2009-06-01,36.86,38.54,30.38,33.55,24.46,180365446
2009-07-01,33.94,40.86,31.88,35.26,25.71,192456203
2009-08-01,35.50,38.75,34.12,36.78,26.82,152647639
2009-09-01,36.69,41.90,35.12,40.74,29.70,156735677
2009-10-01,40.72,45.28,35.72,38.49,28.06,169608301
2009-11-01,38.41,40.92,35.19,37.33,27.22,131460256
2009-12-01,37.78,40.58,36.40,38.39,27.99,121768298
2010-01-01,38.39,41.87,33.44,34.47,25.13,177533636
2010-02-01,34.33,37.41,32.86,36.22,26.41,191645601
2010-03-01,36.79,45.91,36.30,44.30,32.30,172584364
2010-04-01,44.47,47.03,39.33,40.59,29.60,202730740
2010-05-01,40.44,40.98,34.95,37.59,27.41,281998491
2010-06-01,37.21,39.80,35.34,36.27,26.86,167712404
2010-07-01,35.73,42.22,34.65,41.63,30.82,160459794
2010-08-01,41.94,43.93,37.80,38.51,28.51,125032293
2010-09-01,38.48,39.66,32.95,34.17,25.30,330708532
2010-10-01,34.53,36.54,33.60,35.26,26.10,229280713
2010-11-01,35.59,36.14,30.58,31.15,23.06,208012309
2010-12-01,31.50,34.39,31.43,33.28,24.64,156536742
2011-01-01,33.62,38.05,33.40,36.75,27.21,168902265
2011-02-01,36.79,41.46,36.54,39.65,29.36,169506489
2011-03-01,39.95,40.10,33.95,35.31,26.15,199035865
2011-04-01,35.53,37.64,33.76,37.54,27.79,148960416
2011-05-01,37.80,37.93,33.95,35.25,26.10,195559129
2011-06-01,35.35,35.53,32.86,34.69,26.16,160937322
2011-07-01,34.65,35.82,30.36,32.79,24.73,191992477
2011-08-01,33.50,33.61,22.14,24.04,18.13,336296642
2011-09-01,24.14,24.41,17.69,22.41,16.90,398520824
2011-10-01,21.24,28.82,19.92,25.83,19.48,276345812
2011-11-01,24.30,25.76,20.27,24.36,18.37,247378307
2011-12-01,24.50,26.30,22.99,25.06,18.90,176706556
2012-01-01,24.93,29.01,22.27,27.57,20.79,238786918
2012-02-01,28.00,30.54,27.01,29.84,22.51,223398374
2012-03-01,29.73,33.63,28.30,31.76,23.95,214158991
2012-04-01,31.79,32.36,27.30,27.98,21.10,178487744
2012-05-01,27.98,28.52,23.61,24.76,18.67,194730411
2012-06-01,24.14,25.49,22.65,24.26,18.30,186231420
2012-07-01,24.17,25.41,18.82,21.18,16.39,211597887
2012-08-01,21.00,24.30,19.60,24.07,18.63,172383937
2012-09-01,23.92,29.05,23.21,26.17,20.26,214292037
2012-10-01,26.09,30.50,26.08,29.77,23.04,164342319
2012-11-01,29.79,30.85,27.33,28.89,22.37,146088834
2012-12-01,28.90,30.22,27.34,28.05,21.71,121063583
2013-01-01,28.05,32.81,28.05,32.53,25.18,156436309
2013-02-01,32.74,32.97,28.89,29.87,23.12,155785075
2013-03-01,29.24,29.75,25.47,25.89,20.04,166822985
2013-04-01,25.89,30.39,25.04,29.72,23.01,186809690
2013-05-01,29.72,32.23,29.48,30.71,23.77,174463504
2013-06-01,30.44,31.61,27.22,27.37,21.64,162001857
2013-07-01,27.62,31.14,25.91,28.86,22.82,165313137
2013-08-01,29.11,29.79,27.34,27.89,22.05,135551735
2013-09-01,28.37,30.87,28.07,28.89,22.84,139260920
2013-10-01,28.95,31.67,28.70,30.33,23.98,156413154
2013-11-01,30.32,30.42,28.45,30.21,23.89,130893051
2013-12-01,30.22,30.39,28.04,29.52,23.34,116176791
2014-01-01,29.52,34.05,28.95,30.55,24.16,214142129
2014-02-01,30.49,30.94,29.24,30.00,23.72,159193285
2014-03-01,29.37,29.89,26.18,27.64,21.86,183346973
2014-04-01,27.81,28.61,26.36,27.04,21.38,146574638
2014-05-01,27.04,27.09,25.17,25.30,20.00,149086688
2014-06-01,25.44,25.56,22.73,22.93,18.59,289020952
2014-07-01,23.02,24.49,22.36,22.92,18.58,232993477
2014-08-01,22.95,23.93,21.57,23.24,18.84,182569841
2014-09-01,23.37,25.26,22.94,24.79,20.10,190300441
2014-10-01,24.68,25.00,20.22,22.21,18.00,244657254
2014-11-01,22.27,23.62,20.97,23.46,19.02,163248142
2014-12-01,23.25,24.01,20.76,22.30,18.08,164555959
2015-01-01,22.30,23.90,20.95,23.03,18.67,237542466
2015-02-01,23.03,26.23,22.68,26.22,21.25,197912590
2015-03-01,26.02,29.36,25.51,28.88,23.41,191250587
2015-04-01,28.70,29.83,25.00,25.64,20.78,195006387
2015-05-01,25.64,26.54,24.43,24.47,19.84,150149245
2015-06-01,24.50,26.66,23.74,24.05,20.00,235092513
2015-07-01,24.33,28.60,23.69,28.58,23.77,188809115
2015-08-01,28.37,28.83,21.24,23.45,19.50,170048012
2015-09-01,23.05,24.12,20.48,21.48,17.87,174059150
2015-10-01,21.88,24.97,20.99,22.73,18.91,178414556
2015-11-01,22.47,23.38,20.86,21.69,18.04,123488119
2015-12-01,21.81,22.02,18.46,20.10,16.72,161761268
2016-01-01,20.10,20.10,14.25,14.64,12.17,237863085
2016-02-01,14.72,14.82,11.63,14.27,11.87,379172215
2016-03-01,14.20,16.81,13.18,13.34,11.10,276992709
2016-04-01,13.16,15.65,12.16,14.70,12.23,251362929
2016-05-01,14.79,14.81,12.65,14.33,11.92,201083492
2016-06-01,14.20,14.39,10.75,11.00,9.15,416745075
2016-07-01,11.13,11.98,10.01,10.73,8.93,357726520
2016-08-01,11.11,11.99,9.87,11.79,9.81,268100615
2016-09-01,11.90,12.35,8.83,10.33,8.59,448280778
2016-10-01,10.33,12.26,10.22,11.74,9.76,302090549
2016-11-01,11.75,13.81,10.71,13.26,11.03,306217460
2016-12-01,13.19,16.63,12.87,15.40,12.80,326778282
2017-01-01,15.35,17.82,15.27,16.41,13.65,276779184
2017-02-01,16.61,17.13,15.73,16.60,13.81,240758142
2017-03-01,16.87,17.67,15.11,16.15,13.43,463294860
2017-04-01,15.94,17.36,14.69,16.53,13.75,343113424
2017-05-01,16.53,17.69,15.57,15.57,12.95,284278726
2017-06-01,15.60,16.19,14.86,15.52,13.06,295816274
2017-07-01,15.65,16.91,14.99,15.09,12.69,285072589
2017-08-01,15.19,15.67,13.29,13.47,11.33,277842546
2017-09-01,13.53,14.64,13.11,14.63,12.31,283669616
2017-10-01,14.70,14.81,13.93,13.95,11.73,246638452
2017-11-01,14.01,16.44,13.82,15.86,13.34,373720721
2017-12-01,15.85,17.13,15.65,15.88,13.35,233720080
2018-01-01,15.88,16.46,14.78,14.79,12.44,362508224
2018-02-01,14.91,15.04,12.37,13.20,11.10,396207126
2018-03-01,13.10,13.26,11.00,11.33,9.53,344600817
2018-04-01,11.33,12.21,10.82,11.37,9.56,289744803
2018-05-01,11.37,11.72,9.07,9.16,7.70,407351823
2018-06-01,9.32,9.85,8.76,9.22,7.84,427612907
2018-07-01,9.07,11.28,8.91,11.19,9.51,383662961
2018-08-01,11.25,11.26,9.62,9.70,8.25,280259037
2018-09-01,9.68,10.63,9.45,9.83,8.36,374666747
2018-10-01,9.78,9.97,8.42,8.65,7.36,311383296
2018-11-01,8.64,9.37,7.99,8.06,6.86,285316101
2018-12-01,8.30,8.41,6.68,6.97,5.92,300383416
2019-01-01,6.97,8.32,6.84,7.75,6.59,328440357
2019-02-01,7.80,8.24,7.10,8.16,6.94,253776644
2019-03-01,8.23,8.30,7.12,7.26,6.17,316550933
2019-04-01,7.34,7.96,7.15,7.37,6.27,291036229
2019-05-01,7.37,7.59,6.03,6.09,5.18,316141090
2019-06-01,6.00,6.88,5.80,6.78,5.86,310046681
2019-07-01,6.92,7.49,6.35,7.04,6.09,405093257
2019-08-01,7.04,7.17,5.78,6.57,5.68,376030152
2019-09-01,6.56,7.75,6.53,6.87,5.94,326228331
2019-10-01,6.91,7.37,6.20,6.49,5.62,327350054
2019-11-01,6.53,7.14,6.43,6.54,5.66,250780863
2019-12-01,6.57,7.14,6.28,6.92,5.98,243460259
2020-01-01,6.92,8.65,6.92,8.28,7.17,370308108
2020-02-01,8.30,10.37,7.71,7.88,6.81,474304586
2020-03-01,8.00,8.02,4.45,5.97,5.16,810928665
2020-04-01,5.67,7.35,5.39,6.78,5.86,453878391
2020-05-01,6.78,8.08,5.80,7.53,6.51,345101359
2020-06-01,7.53,9.20,7.53,8.46,7.32,398055277
2020-07-01,8.35,9.18,7.30,7.59,6.57,305294153
2020-08-01,7.60,8.47,7.57,8.02,6.94,186931433
2020-09-01,8.11,8.29,6.75,7.19,6.22,278111782
2020-10-01,7.32,8.35,7.03,7.90,6.83,244343409
2020-11-01,8.00,9.73,7.92,9.34,8.08,321772835
2020-12-01,9.32,9.83,8.47,8.95,7.74,212376491
2021-01-01,8.95,10.09,8.37,8.37,7.24,238125100
2021-02-01,8.45,10.79,8.41,10.21,8.83,280431332
2021-03-01,10.40,11.25,9.82,10.19,8.81,290216191
2021-04-01,10.22,11.78,9.70,11.61,10.04,218427730
2021-05-01,11.70,12.51,10.95,12.19,10.55,228176179
2021-06-01,12.25,12.56,10.70,10.99,9.50,223748922
2021-07-01,11.11,11.16,9.76,10.66,9.22,199063206
2021-08-01,10.56,11.08,10.29,10.53,9.11,141715728
2021-09-01,10.60,11.30,10.07,11.04,9.55,185400540
2021-10-01,10.85,11.92,10.57,11.15,9.64,206969272
2021-11-01,11.10,11.70,10.41,10.66,9.22,235532083
2021-12-01,10.79,11.48,10.49,11.02,9.53,163479557
2022-01-01,11.07,12.56,10.70,12.25,10.60,255377599
2022-02-01,12.42,14.64,10.69,11.26,9.74,392967091
2022-03-01,11.17,12.11,8.16,11.51,9.96,496444653
2022-04-01,11.65,12.04,9.26,9.63,8.33,293846080
2022-05-01,9.55,10.73,8.81,10.37,8.97,261823733
2022-06-01,10.52,10.55,8.12,8.32,7.35,250716923
2022-07-01,8.18,8.67,7.53,8.53,7.53,254430625
2022-08-01,8.55,9.18,8.08,8.32,7.35,170306619
2022-09-01,8.28,9.32,7.46,7.65,6.76,277578805
2022-10-01,7.46,9.91,7.25,9.66,8.54,256433668
2022-11-01,9.72,10.62,9.59,10.12,8.94,177390597
2022-12-01,10.18,10.79,9.68,10.59,9.36,156782749
2023-01-01,10.64,12.36,10.64,12.21,10.79,184732102
2023-02-01,12.23,12.35,11.18,11.80,10.43,219970504
2023-03-01,11.84,11.86,7.95,9.36,8.27,509314685
2023-04-01,9.40,10.22,9.22,9.94,8.79,193335464
2023-05-01,9.94,10.06,9.13,9.48,8.37,188169556
2023-06-01,9.55,10.06,8.90,9.62,8.77,209981576
2023-07-01,9.66,10.71,9.05,10.08,9.19,232159373
2023-08-01,10.08,10.38,9.64,10.05,9.17,171768039
2023-09-01,10.09,10.56,9.51,10.45,9.53,208413212
2023-10-01,10.46,10.54,9.44,10.36,9.45,231073067
2023-11-01,10.42,11.65,10.37,11.43,10.42,189313302
2023-12-01,11.50,12.47,11.43,12.36,11.28,156576322
2024-01-01,12.36,12.85,11.56,12.03,10.98,165720897
2024-02-01,12.01,12.92,11.52,12.36,11.27,182673706
2024-03-01,12.40,14.78,12.28,14.58,13.30,200258582
2024-04-01,14.58,17.01,14.35,15.01,13.69,227630074
2024-05-01,15.01,16.23,14.93,15.23,13.89,140837541
2024-06-01,15.33,15.49,14.04,14.91,13.99,133101929
2024-07-01,15.19,15.90,13.90,14.44,13.55,134977151
2024-08-01,14.36,14.83,12.27,14.75,13.84,113384105
2024-09-01,14.80,15.72,13.81,15.50,14.55,128198662
2024-10-01,15.55,16.39,15.08,15.62,14.67,150686167
2024-11-01,15.61,16.89,15.30,16.07,15.09,142757370
2024-12-01,15.90,17.31,15.90,16.64,15.62,105242058
2025-01-01,16.64,19.63,16.29,18.94,17.78,174622394
2025-02-01,18.55,20.90,17.95,20.73,19.45,176781035
2025-03-01,20.52,23.54,19.33,21.82,20.48,225450506
2025-04-01,22.05,23.80,16.58,22.98,21.57,238180369
2025-05-01,22.98,25.65,22.98,24.36,22.87,128365838
2025-06-01,24.15,26.10,23.55,25.17,24.28,145143896
2025-07-01,24.92,29.48,24.26,28.99,27.96,135902179
2025-08-01,28.70,32.08,27.90,30.03,28.97,106715732
2025-09-01,30.17,32.21,29.18,29.95,28.90,156550062
2025-10-01,29.87,31.65,28.23,30.93,29.84,117402507
2025-11-01,30.95,33.57,28.93,30.61,29.53,102815668
2025-12-01,30.64,33.46,30.08,33.11,31.94,74502102
2026-01-01,33.11,34.26,31.35,33.30,32.13,122557326
2026-02-01,32.82,34.04,29.41,30.30,29.23,126875025
2026-03-01,29.00,29.47,23.82,25.11,24.23,186524467
2026-04-01,26.30,29.02,25.13,26.50,25.57,122080732
2026-05-01,26.50,29.50,25.80,27.86,26.88,103473985
2026-06-01,27.75,31.53,26.44,30.48,30.48,107227660
2026-06-26,30.10,30.27,30.03,30.08,30.08,742005
